"","timestamp","value","value_classification"
"220",2020-12-31 03:00:00,95,"Extreme Greed"
"221",2020-12-30 03:00:00,91,"Extreme Greed"
"222",2020-12-29 03:00:00,91,"Extreme Greed"
"223",2020-12-28 03:00:00,92,"Extreme Greed"
"224",2020-12-27 03:00:00,91,"Extreme Greed"
"225",2020-12-26 03:00:00,93,"Extreme Greed"
"226",2020-12-25 03:00:00,94,"Extreme Greed"
"227",2020-12-24 03:00:00,86,"Extreme Greed"
"228",2020-12-23 03:00:00,93,"Extreme Greed"
"229",2020-12-22 03:00:00,88,"Extreme Greed"
"230",2020-12-21 03:00:00,92,"Extreme Greed"
"231",2020-12-20 03:00:00,92,"Extreme Greed"
"232",2020-12-19 03:00:00,93,"Extreme Greed"
"233",2020-12-18 03:00:00,95,"Extreme Greed"
"234",2020-12-17 03:00:00,92,"Extreme Greed"
"235",2020-12-16 03:00:00,92,"Extreme Greed"
"236",2020-12-15 03:00:00,91,"Extreme Greed"
"237",2020-12-14 03:00:00,95,"Extreme Greed"
"238",2020-12-13 03:00:00,91,"Extreme Greed"
"239",2020-12-12 03:00:00,90,"Extreme Greed"
"240",2020-12-11 03:00:00,89,"Extreme Greed"
"241",2020-12-10 03:00:00,94,"Extreme Greed"
"242",2020-12-09 03:00:00,86,"Extreme Greed"
"243",2020-12-08 03:00:00,95,"Extreme Greed"
"244",2020-12-07 03:00:00,94,"Extreme Greed"
"245",2020-12-06 03:00:00,95,"Extreme Greed"
"246",2020-12-05 03:00:00,93,"Extreme Greed"
"247",2020-12-04 03:00:00,92,"Extreme Greed"
"248",2020-12-03 03:00:00,92,"Extreme Greed"
"249",2020-12-02 03:00:00,92,"Extreme Greed"
"250",2020-12-01 03:00:00,95,"Extreme Greed"
"251",2020-11-30 03:00:00,88,"Extreme Greed"
"252",2020-11-29 03:00:00,89,"Extreme Greed"
"253",2020-11-28 03:00:00,87,"Extreme Greed"
"254",2020-11-27 03:00:00,86,"Extreme Greed"
"255",2020-11-26 03:00:00,93,"Extreme Greed"
"256",2020-11-25 03:00:00,94,"Extreme Greed"
"257",2020-11-24 03:00:00,88,"Extreme Greed"
"258",2020-11-23 03:00:00,90,"Extreme Greed"
"259",2020-11-22 03:00:00,94,"Extreme Greed"
"260",2020-11-21 03:00:00,91,"Extreme Greed"
"261",2020-11-20 03:00:00,86,"Extreme Greed"
"262",2020-11-19 03:00:00,94,"Extreme Greed"
"263",2020-11-18 03:00:00,91,"Extreme Greed"
"264",2020-11-17 03:00:00,86,"Extreme Greed"
"265",2020-11-16 03:00:00,90,"Extreme Greed"
"266",2020-11-15 03:00:00,86,"Extreme Greed"
"267",2020-11-14 03:00:00,90,"Extreme Greed"
"268",2020-11-13 03:00:00,89,"Extreme Greed"
"269",2020-11-12 03:00:00,87,"Extreme Greed"
"270",2020-11-11 03:00:00,86,"Extreme Greed"
"271",2020-11-10 03:00:00,90,"Extreme Greed"
"272",2020-11-09 03:00:00,90,"Extreme Greed"
"273",2020-11-08 03:00:00,82,"Extreme Greed"
"274",2020-11-07 03:00:00,88,"Extreme Greed"
"275",2020-11-06 03:00:00,90,"Extreme Greed"
"276",2020-11-05 03:00:00,72,"Greed"
"277",2020-11-04 03:00:00,74,"Greed"
"278",2020-11-03 03:00:00,71,"Greed"
"279",2020-11-02 03:00:00,71,"Greed"
"280",2020-11-01 03:00:00,72,"Greed"
"281",2020-10-31 03:00:00,73,"Greed"
"282",2020-10-30 03:00:00,74,"Greed"
"283",2020-10-29 03:00:00,67,"Greed"
"284",2020-10-28 03:00:00,70,"Greed"
"285",2020-10-27 03:00:00,61,"Greed"
"286",2020-10-26 03:00:00,75,"Greed"
"287",2020-10-25 03:00:00,76,"Extreme Greed"
"288",2020-10-24 03:00:00,73,"Greed"
"289",2020-10-23 03:00:00,74,"Greed"
"290",2020-10-22 03:00:00,73,"Greed"
"291",2020-10-21 03:00:00,61,"Greed"
"292",2020-10-20 03:00:00,56,"Greed"
"293",2020-10-19 03:00:00,55,"Greed"
"294",2020-10-18 03:00:00,55,"Greed"
"295",2020-10-17 03:00:00,56,"Greed"
"296",2020-10-16 03:00:00,52,"Neutral"
"297",2020-10-15 03:00:00,56,"Greed"
"298",2020-10-14 03:00:00,53,"Neutral"
"299",2020-10-13 03:00:00,56,"Greed"
"300",2020-10-12 03:00:00,52,"Neutral"
"301",2020-10-11 03:00:00,55,"Greed"
"302",2020-10-10 03:00:00,53,"Neutral"
"303",2020-10-09 03:00:00,48,"Neutral"
"304",2020-10-08 03:00:00,46,"Fear"
"305",2020-10-07 03:00:00,43,"Fear"
"306",2020-10-06 03:00:00,47,"Neutral"
"307",2020-10-05 03:00:00,42,"Fear"
"308",2020-10-04 03:00:00,42,"Fear"
"309",2020-10-03 03:00:00,40,"Fear"
"310",2020-10-02 03:00:00,41,"Fear"
"311",2020-10-01 03:00:00,45,"Fear"
"312",2020-09-30 03:00:00,49,"Neutral"
"313",2020-09-29 03:00:00,45,"Fear"
"314",2020-09-28 03:00:00,43,"Fear"
"315",2020-09-27 03:00:00,47,"Neutral"
"316",2020-09-26 03:00:00,45,"Fear"
"317",2020-09-25 03:00:00,46,"Fear"
"318",2020-09-24 03:00:00,39,"Fear"
"319",2020-09-23 03:00:00,43,"Fear"
"320",2020-09-22 03:00:00,39,"Fear"
"321",2020-09-21 03:00:00,48,"Neutral"
"322",2020-09-20 03:00:00,52,"Neutral"
"323",2020-09-19 03:00:00,48,"Neutral"
"324",2020-09-18 03:00:00,49,"Neutral"
"325",2020-09-17 03:00:00,48,"Neutral"
"326",2020-09-16 03:00:00,43,"Fear"
"327",2020-09-15 03:00:00,47,"Neutral"
"328",2020-09-14 03:00:00,39,"Fear"
"329",2020-09-13 03:00:00,38,"Fear"
"330",2020-09-12 03:00:00,41,"Fear"
"331",2020-09-11 03:00:00,41,"Fear"
"332",2020-09-10 03:00:00,38,"Fear"
"333",2020-09-09 03:00:00,38,"Fear"
"334",2020-09-08 03:00:00,41,"Fear"
"335",2020-09-07 03:00:00,41,"Fear"
"336",2020-09-06 03:00:00,41,"Fear"
"337",2020-09-05 03:00:00,41,"Fear"
"338",2020-09-04 03:00:00,40,"Fear"
"339",2020-09-03 03:00:00,79,"Extreme Greed"
"340",2020-09-02 03:00:00,83,"Extreme Greed"
"341",2020-09-01 03:00:00,75,"Greed"
"342",2020-08-31 03:00:00,75,"Greed"
"343",2020-08-30 03:00:00,75,"Greed"
"344",2020-08-29 03:00:00,79,"Extreme Greed"
"345",2020-08-28 03:00:00,74,"Greed"
"346",2020-08-27 03:00:00,75,"Greed"
"347",2020-08-26 03:00:00,76,"Extreme Greed"
"348",2020-08-25 03:00:00,75,"Greed"
"349",2020-08-24 03:00:00,78,"Extreme Greed"
"350",2020-08-23 03:00:00,76,"Extreme Greed"
"351",2020-08-22 03:00:00,78,"Extreme Greed"
"352",2020-08-21 03:00:00,81,"Extreme Greed"
"353",2020-08-20 03:00:00,75,"Greed"
"354",2020-08-19 03:00:00,80,"Extreme Greed"
"355",2020-08-18 03:00:00,82,"Extreme Greed"
"356",2020-08-17 03:00:00,83,"Extreme Greed"
"357",2020-08-16 03:00:00,82,"Extreme Greed"
"358",2020-08-15 03:00:00,79,"Extreme Greed"
"359",2020-08-14 03:00:00,78,"Extreme Greed"
"360",2020-08-13 03:00:00,75,"Greed"
"361",2020-08-12 03:00:00,75,"Greed"
"362",2020-08-11 03:00:00,84,"Extreme Greed"
"363",2020-08-10 03:00:00,78,"Extreme Greed"
"364",2020-08-09 03:00:00,79,"Extreme Greed"
"365",2020-08-08 03:00:00,77,"Extreme Greed"
"366",2020-08-07 03:00:00,77,"Extreme Greed"
"367",2020-08-06 03:00:00,79,"Extreme Greed"
"368",2020-08-05 03:00:00,75,"Greed"
"369",2020-08-04 03:00:00,72,"Greed"
"370",2020-08-03 03:00:00,75,"Greed"
"371",2020-08-02 03:00:00,80,"Extreme Greed"
"372",2020-08-01 03:00:00,75,"Greed"
"373",2020-07-31 03:00:00,75,"Greed"
"374",2020-07-30 03:00:00,76,"Extreme Greed"
"375",2020-07-29 03:00:00,71,"Greed"
"376",2020-07-28 03:00:00,76,"Extreme Greed"
"377",2020-07-27 03:00:00,58,"Greed"
"378",2020-07-26 03:00:00,55,"Greed"
"379",2020-07-25 03:00:00,55,"Greed"
"380",2020-07-24 03:00:00,53,"Neutral"
"381",2020-07-23 03:00:00,55,"Greed"
"382",2020-07-22 03:00:00,50,"Neutral"
"383",2020-07-21 03:00:00,44,"Fear"
"384",2020-07-20 03:00:00,44,"Fear"
"385",2020-07-19 03:00:00,41,"Fear"
"386",2020-07-18 03:00:00,44,"Fear"
"387",2020-07-17 03:00:00,41,"Fear"
"388",2020-07-16 03:00:00,43,"Fear"
"389",2020-07-15 03:00:00,44,"Fear"
"390",2020-07-14 03:00:00,43,"Fear"
"391",2020-07-13 03:00:00,43,"Fear"
